Epoch [1/50], Train Loss: 0.0159, Val Loss: 0.0152, Val R2: 0.7767
Epoch [2/50], Train Loss: 0.0155, Val Loss: 0.0150, Val R2: 0.7787
Epoch [3/50], Train Loss: 0.0154, Val Loss: 0.0150, Val R2: 0.7791
Epoch [4/50], Train Loss: 0.0153, Val Loss: 0.0150, Val R2: 0.7794
Epoch [5/50], Train Loss: 0.0153, Val Loss: 0.0150, Val R2: 0.7796
Epoch [6/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7797
Epoch [7/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7797
Epoch [8/50], Train Loss: 0.0154, Val Loss: 0.0149, Val R2: 0.7798
Epoch [9/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7798
Epoch [10/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7798
Epoch [11/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7798
Epoch [12/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7798
Epoch [13/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7798
Epoch [14/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7798
Epoch [15/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7799
Epoch [16/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7799
Epoch [17/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7798
Epoch [18/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7798
Epoch [19/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7798
Epoch [20/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7799
Epoch [21/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7799
Epoch [22/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7800
Epoch [23/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7801
Epoch [24/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7799
Epoch [25/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7801
Epoch [26/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7801
Epoch [27/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7801
Epoch [28/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7802
Epoch [29/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7802
Epoch [30/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7802
Epoch [31/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7802
Epoch [32/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7802
Epoch [33/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7802
Epoch [34/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7802
Epoch [35/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7801
Epoch [36/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7801
Epoch [37/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7802
Epoch [38/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7801
Epoch [39/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7802
Epoch [40/50], Train Loss: 0.0153, Val Loss: 0.0149, Val R2: 0.7800
Epoch [41/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7800
Epoch [42/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7801
Epoch [43/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7801
Epoch [44/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7801
Epoch [45/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7801
Epoch [46/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7802
Epoch [47/50], Train Loss: 0.0152, Val Loss: 0.0149, Val R2: 0.7802
Epoch [48/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7802
Epoch [49/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7802
Epoch [50/50], Train Loss: 0.0151, Val Loss: 0.0149, Val R2: 0.7802
